plant_name,scientific_name,plant_category,plant_type,days_to_maturity,plant_spacing,sowing_depth,position,season,germination,sowing_method,hardiness_life_cycle,characteristics,description,additional_information,seed_type,image_filename,cool_climate_sowing_period,temperate_climate_sowing_period,subtropical_climate_sowing_period,tropical_climate_sowing_period,arid_climate_sowing_period
Broccoli- Romanesco,Brassica oleracea,vegetable,Green vegetable; Very attractive pale green heads; Very good flavour and texture,75-100 days,50cm,5mm,"Full or part sun, well drained soil",Late summer to autumn,3-7 days @ 8-30°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),Very good flavour and texture; Very tender with exceptional flavour; High yielding,"**Romanesco Broccoli**: Get ready for the stunning Romanesco broccoli, with its large pale green heads featuring an attractive spiraling pattern that grows up to 20cm. Its tender and delicious flavor makes it perfect for raw salads or cooked dishes, losing minimal flavor when cooked.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Broccoli- Romanesco_Brassica oleracea/Broccoli- Romanesco_Brassica oleracea_1.jpg; Broccoli- Romanesco_Brassica oleracea/Broccoli- Romanesco_Brassica oleracea_2.jpg; Broccoli- Romanesco_Brassica oleracea/Broccoli- Romanesco_Brassica oleracea_3.jpg,"January, February, March, November, December","January, February, March, April, September, October, November, December","February, March, April, May, June","March, April, May, June","February, March, April, May, June, July"
Bunching Onion- Fuyuyo,Allium fistulosum,vegetable,Japanese variety; Mild flavour; Eat raw or cooked,60-90 days,20cm,5mm,"Full sun, well drained soil","Autumn, winter and early spring",10-14 days @ 15-25°C,Sow direct or raise seedlings,Hardy Perennial,Mild flavour,"**Japanese Bunching Onion 'Shallot'**: This Japanese variety produces long tender green leaves with short white bases, boasting a mild flavor that's perfect for eating raw or cooked. It thrives in cooler weather and is an excellent choice for autumn or winter crops.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Bunching Onion- Fuyuyo_Allium fistulosum/Bunching Onion- Fuyuyo_Allium fistulosum_1.jpg; Bunching Onion- Fuyuyo_Allium fistulosum/Bunching Onion- Fuyuyo_Allium fistulosum_2.jpg,"March, April, May, June, July, August, September, October, November","March, April, May, June, July, August, September, October, November","March, April, May, June, July, August, September, October","March, April, May, June, July, August, September","March, April, May, June, July, August, September, October, November"
"Cabbage, Chinese- Michihili",Brassica pekinensis,vegetable,"Leaf vegetable; Sweet and tender; Good for stir-fry, pickling and salads",60-100 days,40cm,6mm,"Part or full sun, well drained soil","Early spring, late summer and autumn",7-14 days @ 7-23°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),Sweet and tender,"**White Stem Chinese Cabbage**: With its upright cylindrical growth habit reaching up to 40cm tall and 10cm wide, this semi-heading type boasts white stalks with green leaves and pale interior. Its sweet and tender flavor makes it ideal for stir-fries, pickling, and salads.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cabbage Chinese- Michihili_Brassica pekinensis/Cabbage Chinese- Michihili_Brassica pekinensis_1.jpg; Cabbage Chinese- Michihili_Brassica pekinensis/Cabbage Chinese- Michihili_Brassica pekinensis_2.jpg,"January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","February, March, April, May, June, July, August, September, October, November","March, April, May, August, September, October, November, December"
"Cabbage, Chinese- Pak Choi - Kwang Moon",,vegetable,Leaf vegetable; Tender white stems; Can be eaten raw or cooked,45-60 days,40cm,6mm,"Part or full sun, well drained soil",Spring and autumn,4-10 days @ 18-24°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),Tender white stems,"**Open Leaved Shallot 'White'**: This variety features white stems with green rounded leaves, boasting a sweet and tender flavor that's perfect for eating raw or cooked. It's an excellent choice for stir-fries and steaming, with a long harvesting period.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cabbage Chinese- Pak Choi - Kwang Moon_unknown/Cabbage Chinese- Pak Choi - Kwang Moon_unknown_1.jpg,"January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","February, March, April, May, June, July, August, September, October, November","March, April, May, August, September, October, November, December"
"Cabbage, Chinese- Pak Choi - Purple Early F1",Brassica rapa,vegetable,Leaf vegetable; Thick round leaves; Can be eaten raw or cooked,40-50 days,25cm,6mm,"Part or full sun, well drained soil",Spring and autumn (and summer in cool climates),7-14 days @ 7-23°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),,". **Napa Cabbage 'Brassica pekinensis'**: Also known as Brassica pekinensis, this biennial (often grown as an annual) is easy to grow and non-heading leaf vegetable with green stems and dark purple leaves. Its tender leaves have a mild flavor that's perfect for raw or cooked dishes, making it ideal for stir-fries and steaming.",Culinary use,,Cabbage Chinese- Pak Choi - Purple Early F1_Brassica rapa/Cabbage Chinese- Pak Choi - Purple Early F1_Brassica rapa_1.jpg; Cabbage Chinese- Pak Choi - Purple Early F1_Brassica rapa/Cabbage Chinese- Pak Choi - Purple Early F1_Brassica rapa_2.jpg,"January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","February, March, April, May, June, July, August, September, October, November","March, April, May, August, September, October, November, December"
"Cabbage, Chinese- Pak Choi- Green",Brassica chinensis,vegetable,Leaf vegetable; Thick round leaves; Can be eaten raw or cooked,40-50 days,25cm,6mm,"Part or full sun, well drained soil","Spring, autumn and summer in cool and moderate climates",7-14 days @ 7-23°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),,"**Bok Choy**: A non-heading variety with thick, smooth, round green leaves and think stems. Its tender leaves have an excellent flavor that can be savored raw or cooked. Perfect for stir-fries and steamed dishes, Bok Choy is a fast-maturing crop.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cabbage Chinese- Pak Choi- Green_Brassica chinensis/Cabbage Chinese- Pak Choi- Green_Brassica chinensis_1.jpg; Cabbage Chinese- Pak Choi- Green_Brassica chinensis/Cabbage Chinese- Pak Choi- Green_Brassica chinensis_2.jpg,"January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","February, March, April, May, June, July, August, September, October, November","March, April, May, August, September, October, November, December"
"Cabbage, Chinese- Spring Doll F1",Brassica pekinensis,vegetable,Heart-forming; Slow bolting; Suited to cool climates,60-100 days,40cm,6mm,"Full sun, moist well drained soil","Early spring, late summer and autumn",7-14 days @ 10-35°C,Sow direct or raise seedlings,Frost Hardy Annual,Slow bolting; Excellent flavour,"**Napa Cabbage**: This Chinese cabbage boasts tight, upright heads with dark green outer leaves giving way to a yellow to lime green heart. As a slow-bolting variety, Napa Cabbage matures early and thrives in cool climates. Its massive heads can grow up to 1.5kg each, making it ideal for harvest at any size. Enjoy its mild flavor raw or cooked by adding finely shredded leaves to salads, coleslaw, stir-fries, soups, or Kimchi.",Attracts beneficial insects; Culinary use,,Cabbage Chinese- Spring Doll F1_Brassica pekinensis/Cabbage Chinese- Spring Doll F1_Brassica pekinensis_1.jpg; Cabbage Chinese- Spring Doll F1_Brassica pekinensis/Cabbage Chinese- Spring Doll F1_Brassica pekinensis_2.jpg,"January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","February, March, April, May, June, July, August, September, October, November","March, April, May, August, September, October, November, December"
"Cabbage, Chinese- Tokyo Bekana",,vegetable,Leaf vegetable; Great lettuce alternative; Can be eaten raw or cooked,40-50 days,25cm,6mm,"Part or full sun, well drained soil","Spring, autumn and summer",7-14 days @ 7-23°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),Excellent flavour,"**Komatsuna**: A fast-growing non-heading variety with bright green ruffled leaves. Komatsuna offers a crunchy texture and a sweet, mild flavor reminiscent of lettuce. This versatile leafy green is an excellent alternative to lettuce for salads, smoothies, or sautéed as a side dish.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cabbage Chinese- Tokyo Bekana_unknown/Cabbage Chinese- Tokyo Bekana_unknown_1.jpg,"January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","February, March, April, May, June, July, August, September, October, November","March, April, May, August, September, October, November, December"
"Cabbage, Chinese- Wombok",Brassica pekinensis,vegetable,Traditional Chinese cabbage; Tight upright heads; Fast maturing,60-100 days,40cm,6mm,"Full sun, moist well drained soil","Early spring, late summer and autumn",7-14 days @ 10-35°C,Sow direct or raise seedlings,Frost Hardy Annual,Fast maturing; Excellent flavour,"**Wombok (Napa Cabbage)**: A Chinese cabbage that has been cultivated for centuries, Wombok boasts tight upright heads with pale green leaves and crisp white ribs. As a fast-maturing cabbage, it can be grown year-round in warm regions. Its mild flavor makes it perfect for salads, coleslaw, stir-fries, soups, or Kimchi.",Attracts beneficial insects; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cabbage Chinese- Wombok_Brassica pekinensis/Cabbage Chinese- Wombok_Brassica pekinensis_1.jpg; Cabbage Chinese- Wombok_Brassica pekinensis/Cabbage Chinese- Wombok_Brassica pekinensis_2.jpg; Cabbage Chinese- Wombok_Brassica pekinensis/Cabbage Chinese- Wombok_Brassica pekinensis_3.jpg; Cabbage Chinese- Wombok_Brassica pekinensis/Cabbage Chinese- Wombok_Brassica pekinensis_4.jpg,"January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","February, March, April, May, June, July, August, September, October, November","March, April, May, August, September, October, November, December"
Cabbage- Early Jersey Wakefield,,vegetable,Leaf vegetable; Conical heads to 1kg; Early maturing,70 days,45cm,5mm,"Part or full sun, well drained soil","Early spring, late summer and autumn",7-14 days @ 7-28°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),Excellent flavour,**Kai Lan**: A leafy vegetable featuring tight packed green conical heads that grow up to 18cm long or around 1kg. Kai Lan boasts a very sweet flavor and is an ideal addition to salads. Enjoy it raw or cooked – this early maturing variety is sure to be a favorite.,Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cabbage- Early Jersey Wakefield_unknown/Cabbage- Early Jersey Wakefield_unknown_1.jpg; Cabbage- Early Jersey Wakefield_unknown/Cabbage- Early Jersey Wakefield_unknown_2.jpg,"February, March, April, August, September","February, March, April, August, September","March, April, May, July, August, September","April, May, June","March, April, May"
Cabbage- Mini,,vegetable,Leaf vegetable; Quick growing; Small heads to 1.2kg,50-100 days,25cm,5mm,"Part or full sun, well drained soil",Spring and autumn,4-10 days @ 18-24°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),Excellent flavour,"**Tatsoi**: Small, quick-growing plants produce compact green heads weighing up to 1.2kg each. This space-saving variety is perfect for gardeners with limited space and boasts slow bolting characteristics. Its crisp leaves have a sweet flavor that's delightful in salads or cooked dishes.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cabbage- Mini_unknown/Cabbage- Mini_unknown_1.jpg,"February, March, April, August, September","February, March, April, August, September","March, April, May, July, August, September","April, May, June","March, April, May"
Cabbage- Red Express,Brassica oleracea,vegetable,Leaf vegetable; Compact heads from 1 to 2kg; Good flavour,70 days,40cm,5mm,"Part or full sun, well drained soil","Early spring, late summer and autumn",3-7 days @ 8-30°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),Compact heads from 1 to 2kg; Good flavour; Excellent flavour,"**Red Cabbage**: A leafy vegetable forming compact red heads that grow from 1 to 2kg. Red Cabbage offers an excellent balance of flavor and texture, with a crisp but tender bite. It's resistant to splitting and perfect for mesculin mixes.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cabbage- Red Express_Brassica oleracea/Cabbage- Red Express_Brassica oleracea_1.jpg,"February, March, April, August, September","February, March, April, August, September","March, April, May, July, August, September","April, May, June","March, April, May"
Caper Bush,Capparis spinosa,vegetable,Perennial to 100cm; Flower buds are pickled as 'Capers'; Tolerant of poor soil conditions,3-4 years,150cm,2mm,"Full sun, dry well drained sandy soil",Spring,14-28 days @ 20-25°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Half Hardy Perennial,,"**Caper Bush (Flinders Rose)**: A perennial shrub growing up to 100cm with sprawling branches of rounded blue-green foliage. The buds are picked young and pickled in salt and vinegar to produce capers, which have a pungent salty flavor often used as a seasoning or garnish. If allowed to mature, the flowers feature white petals with purple filaments, offering great ornamental value.",Drought tolerant; Culinary use; Medicinal use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Caper Bush_Capparis spinosa/Caper Bush_Capparis spinosa_1.jpg; Caper Bush_Capparis spinosa/Caper Bush_Capparis spinosa_2.jpg; Caper Bush_Capparis spinosa/Caper Bush_Capparis spinosa_3.jpg,"September, October, November","August, September, October, November",,,"August, September, October, November"
Capsicum- Big Red,Capsicum annuum,vegetable,High yielding; Sweet flavour,80 days,50cm,5mm,"Full sun, well drained soil",Spring or after frost (anytime in warm climates),7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),"High yielding; Sweet flavour; Also known as ""Sweet Pepper""; Sweet and crisp","**Bell Boy**: A high-yielding variety producing large blocky bell-type fruit. The fruit has thick flesh and grows up to 11 by 8cm, initially green but changing to red when mature. Bell Boy offers a sweet flavor perfect for baking, salads, stir-fries, or stuffing.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Big Red_Capsicum annuum/Capsicum- Big Red_Capsicum annuum_1.jpg; Capsicum- Big Red_Capsicum annuum/Capsicum- Big Red_Capsicum annuum_2.jpg; Capsicum- Big Red_Capsicum annuum/Capsicum- Big Red_Capsicum annuum_3.jpg; Capsicum- Big Red_Capsicum annuum/Capsicum- Big Red_Capsicum annuum_4.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December"
Capsicum- Bull Horn Red,Capsicum annuum,vegetable,Long sweet red peppers; Great for stuffing,70 days,60cm,5mm,"Full sun, well drained soil",Spring or after frost (anytime in warm climates),7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),"Long sweet red peppers; Also known as ""Sweet Pepper""; Sweet and crisp",". **Horn Pepper**: Tall plants with dark green foliage produce long, tapered, slightly curved red capsicums up to 20cm in length, resembling a bull's horn. Fruits can be harvested at the green or red stage, but are sweeter when fully ripe. Horn Pepper is an excellent choice for stuffing, grilling, and pickling, as well as being known by its alternative name – Capsicum (Peppers).",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Bull Horn Red_Capsicum annuum/Capsicum- Bull Horn Red_Capsicum annuum_1.jpg; Capsicum- Bull Horn Red_Capsicum annuum/Capsicum- Bull Horn Red_Capsicum annuum_2.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December"
Capsicum- Chocolate Beauty,Capsicum annuum,vegetable,"Also known as ""Sweet Pepper""; Medium sized chocolate brown fruit; Thick sweet flesh",80-90 days,50cm,5mm,"Full sun, moist well drained soil","Spring or after frost in cool climates, anytime in warm climates",7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),"Also known as ""Sweet Pepper""; Thick sweet flesh; Sweet and crisp","**Chocolate Brown Sweet Peppers** Medium sized green fruits that mature to a unique chocolate brown colour. These peppers are perfect for snacking raw or adding to your favorite recipes. The thick, sweet flesh makes them ideal for salads and cooking. Plus, they can thrive in containers, making them a great choice for urban gardeners.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Chocolate Beauty_Capsicum annuum/Capsicum- Chocolate Beauty_Capsicum annuum_1.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December"
Capsicum- Corno Di Toro Giallo,Capsicum annuum,vegetable,Italian heirloom; Bulls horn,80-100 days,50cm,5mm,"Full sun, moist well drained soil","Spring or after frost in cool climates, anytime in warm climates",7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),"Also known as ""Sweet Pepper""; Sweet and crisp","**Horn of the Bull Sweet Peppers** A very popular Italian heirloom variety, these long green bull horn shaped peppers mature to bright yellow. With their thin skin and thick flesh, they pack a deliciously sweet but slightly pungent flavor punch. High yielding and versatile, they can be enjoyed raw or cooked in a variety of ways.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Corno Di Toro Giallo_Capsicum annuum/Capsicum- Corno Di Toro Giallo_Capsicum annuum_1.jpg; Capsicum- Corno Di Toro Giallo_Capsicum annuum/Capsicum- Corno Di Toro Giallo_Capsicum annuum_2.jpg; Capsicum- Corno Di Toro Giallo_Capsicum annuum/Capsicum- Corno Di Toro Giallo_Capsicum annuum_3.jpg; Capsicum- Corno Di Toro Giallo_Capsicum annuum/Capsicum- Corno Di Toro Giallo_Capsicum annuum_4.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December"
Capsicum- Hungarian Sweet Wax Red,Capsicum annuum,vegetable,High yields; Long sweet red peppers,60-75 days,50cm,5mm,"Full sun, well drained soil",Spring or after frost (anytime in warm climates),7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),,"**Sweet Pepper Delights** This variety produces high yields of long, sweet peppers with thick waxy skin growing up to 10-15cm. The fruit starts pale yellow and matures to red when ripe, making them a stunning addition to any dish. Whether you're a seasoned gardener or just starting out, these peppers are easy to grow.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Hungarian Sweet Wax Red_Capsicum annuum/Capsicum- Hungarian Sweet Wax Red_Capsicum annuum_1.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December"
Capsicum- Marconi Red,Capsicum annuum,vegetable,Italian heirloom; Long tapered fruit; Great for roasting,80-90 days,50cm,5mm,"Full sun, well drained soil",Spring or after frost (anytime in warm climates),7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),"Also known as ""Sweet Pepper""; Sweet and crisp","**Tuscan Sweet Pepper** This Italian heirloom grows to an impressive 70cm in height, producing classic tapered shaped peppers up to 30cm long. With their sweet flavor and tender flesh, they can be enjoyed when green or red, making them perfect for frying, baking, or roasting.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Marconi Red_Capsicum annuum/Capsicum- Marconi Red_Capsicum annuum_1.jpg; Capsicum- Marconi Red_Capsicum annuum/Capsicum- Marconi Red_Capsicum annuum_2.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December"
Capsicum- Mini Bell Mix,Capsicum annuum,vegetable,Vegetable 60cm; Small fruit perfect for snacking; Suitable for containers,90-100 days,40cm,5mm,"Full sun, well drained soil",Spring or after frost (anytime in warm climates),7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),"Also known as ""Sweet Pepper""; Sweet and crisp","**Compact Sweet Pepper Mix** Perfect for small gardens or container growing, these compact plants grow up to 60cm in height, producing a mix of small yellow, red, and orange peppers with a sweet taste. Each pepper is approximately 5cm long, making them ideal for snacking on the go.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Mini Bell Mix_Capsicum annuum/Capsicum- Mini Bell Mix_Capsicum annuum_1.jpg; Capsicum- Mini Bell Mix_Capsicum annuum/Capsicum- Mini Bell Mix_Capsicum annuum_2.jpg; Capsicum- Mini Bell Mix_Capsicum annuum/Capsicum- Mini Bell Mix_Capsicum annuum_3.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December"
Capsicum- Pimento,Capsicum annuum,vegetable,Disease resistant; High Yielding; Good all purpose variety,80-100 days,50cm,5mm,"Full sun, well drained soil",Spring or after frost (anytime in warm climates),7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),"Disease resistant; High Yielding; Also known as ""Sweet Pepper""; Sweet and crisp; Thick sweet flesh","**Ruby Red Sweet Pepper** This hardy, disease-resistant variety produces thick, juicy heart-shaped peppers up to 8-10cm long. With their sweet flavor and vibrant ruby red color, they're perfect for baking, salads, stir-fries, roasting, or stuffing. A great choice for beginners and experienced gardeners alike.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Pimento_Capsicum annuum/Capsicum- Pimento_Capsicum annuum_1.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December"
Capsicum- Purple Beauty,Capsicum annuum,vegetable,"Also known as ""Sweet Pepper""; Attractive purple fruit; Sweet flavour",75-85 days,50cm,5mm,"Full sun, moist well drained soil","Spring or after frost in cool climates, anytime in warm climates",7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),"Also known as ""Sweet Pepper""; Sweet flavour; Sweet and crisp","**Purple Beauty Sweet Peppers** Add a pop of color to your salads with these attractive purple peppers. Each pepper has crunchy, thick walls growing up to 8cm long and boasts a sweet flavor that's sure to please. Plus, they can thrive in containers, making them perfect for urban gardeners.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Purple Beauty_Capsicum annuum/Capsicum- Purple Beauty_Capsicum annuum_1.jpg; Capsicum- Purple Beauty_Capsicum annuum/Capsicum- Purple Beauty_Capsicum annuum_2.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December"
Capsicum- Sweet Banana,Capsicum annuum,vegetable,Vegetable; Pale yellow banana shaped fruit; Thick sweet flesh with waxy smooth skin,58-75 days,50cm,5mm,"Full sun, well drained soil",Spring or after frost (anytime in warm climates),7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),,"**Banana Sweet Pepper** Early maturing and highly productive, this variety produces sweet banana-shaped peppers with thick waxy skin growing up to 15cm. The fruit starts pale yellow and matures red, adding a touch of sunshine to any dish.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Sweet Banana_Capsicum annuum/Capsicum- Sweet Banana_Capsicum annuum_1.jpg; Capsicum- Sweet Banana_Capsicum annuum/Capsicum- Sweet Banana_Capsicum annuum_2.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December"
Capsicum- Sweet Cubanelle,Capsicum frutescens,vegetable,Vegetable; Sweet and mildly pungent,90-100 days,50cm,5mm,"Full sun, well drained soil",Spring or after frost (anytime in warm climates),7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),,"**Cuban Sweet Peppers** With their slightly shrivelled appearance and vibrant orange or red color, these peppers add a unique charm to any salad or recipe. Mild heat and a sweet but mildly pungent flavor make them one of the easiest varieties to grow.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Sweet Cubanelle_Capsicum frutescens/Capsicum- Sweet Cubanelle_Capsicum frutescens_1.jpg; Capsicum- Sweet Cubanelle_Capsicum frutescens/Capsicum- Sweet Cubanelle_Capsicum frutescens_2.jpg; Capsicum- Sweet Cubanelle_Capsicum frutescens/Capsicum- Sweet Cubanelle_Capsicum frutescens_3.jpg; Capsicum- Sweet Cubanelle_Capsicum frutescens/Capsicum- Sweet Cubanelle_Capsicum frutescens_4.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December"
Capsicum- White Bell,Capsicum annuum,vegetable,"Also known as ""Sweet Pepper""; Fruit to 10cm; Creamy white fruit",65-90 days,50cm,5mm,"Full sun, moist well drained soil","Spring or after frost in cool climates, anytime in warm climates",7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),"Also known as ""Sweet Pepper""; Sweet and crisp; Excellent flavour",". **Creamy White Bell Pepper** A perennial favorite (usually grown as an annual in cool climates), this compact plant produces bell-like shaped peppers up to 10cm in creamy white, which turn pale yellow and then red when mature. Thick, sweet flesh makes them perfect for snacking or adding to your favorite recipes.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- White Bell_Capsicum annuum/Capsicum- White Bell_Capsicum annuum_1.jpg; Capsicum- White Bell_Capsicum annuum/Capsicum- White Bell_Capsicum annuum_2.jpg; Capsicum- White Bell_Capsicum annuum/Capsicum- White Bell_Capsicum annuum_3.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December"
Capsicum- Yellow Bell,Capsicum annuum,vegetable,"Also known as ""Sweet Pepper""; Fruit to 12cm; Golden Yellow Fruit",65-90 days,40cm,5mm,"Full sun, moist well drained soil","Spring or after frost in cool climates, anytime in warm climates",7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),"Also known as ""Sweet Pepper""; Sweet and crisp","**Capsicum** (Sweet Pepper or Bell Pepper) Perennial, but often grown as an annual in cooler climates, producing sweet, thick-walled bell-shaped peppers up to 12cm in golden yellow. This heavy-cropping variety can be enjoyed raw or cooked and is perfect for containers.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Yellow Bell_Capsicum annuum/Capsicum- Yellow Bell_Capsicum annuum_1.jpg; Capsicum- Yellow Bell_Capsicum annuum/Capsicum- Yellow Bell_Capsicum annuum_2.jpg; Capsicum- Yellow Bell_Capsicum annuum/Capsicum- Yellow Bell_Capsicum annuum_3.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December"
Carrot- Atomic Red,Daucus carota,vegetable,Root vegetable; Red carrots to 20cm; Strong flavour best eaten cooked,70 days,5cm,5mm,"Full sun, well drained soil","Spring, summer and autumn",14-21 days @ 10-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Half hardy Biennial (usually grown as an annual),Strong flavour best eaten cooked; Mild flavour; Sweet roots growing to 18cm,"Deep red carrots growing to 20cm. When cooked, the colour deepens and the flavour improves, making this a delicious addition to any meal.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Carrot- Atomic Red_Daucus carota/Carrot- Atomic Red_Daucus carota_1.jpg; Carrot- Atomic Red_Daucus carota/Carrot- Atomic Red_Daucus carota_2.jpg; Carrot- Atomic Red_Daucus carota/Carrot- Atomic Red_Daucus carota_3.jpg,"January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","February, March, April, May, June, July, August, September","January, February, March, April, May, June, July, August, September, October, November, December"
